Gemi Adi,Konteyner Numarasi,Kalkis Limani,Varis Limani,Kalkis Tarihi,Varis Tarihi,Tasima Ucreti,Tasima Mesafesi
"Martin, Riggs and Williams",4255198524,Hernandezview,North Dana,2023-04-07 23:26:21,2024-11-19 09:48:30,9089.28,3074.89
"Moore, Little and Washington",6477539759,New Pamela,Johnsonton,2023-07-20 13:15:32,2024-06-05 04:13:37,9952.74,9384.89
Hardy-Williams,6075727208,North Robert,Foxfurt,2023-10-22 07:08:56,2024-08-11 10:16:57,2204.77,1305.31
Gutierrez PLC,4936846709,North Jonathanfort,North Andrea,2023-07-31 04:42:09,2024-08-16 17:45:50,8976.85,307.44
"Lewis, Roberson and Lopez",8624569358,South Brianna,Rhondaside,2023-03-21 19:22:26,2024-10-22 07:02:42,2938.17,737.49
Patel-Vega,6089553611,Williamsberg,Millerfurt,2024-02-14 06:23:52,2025-01-30 20:07:14,4232.77,1258.14
Ward-Carpenter,330729410,Johnsonside,West Angelaside,2023-08-30 04:01:37,2024-09-19 14:31:23,1822.73,8278.41
Durham Group,918122771,North Aaron,Amyberg,2023-09-24 22:42:16,2024-03-12 14:30:00,1366.53,5651.79
"Russell, Powell and Prince",2557529397,Howardshire,West Matthewside,2024-01-16 20:44:42,2024-06-01 18:33:40,4000.06,273.46
"Macias, Kim and Fields",2952968207,New Daniellestad,East Elizabeth,2023-08-26 10:09:23,2025-02-16 11:59:40,8694.79,3129.42
Krueger-Carter,9044895538,North Teresa,West Waynechester,2023-07-07 17:18:57,2025-01-01 05:39:08,4426.43,7866.75
"Brown, Thompson and Wall",7668680814,Port Andrew,East Michaelmouth,2023-08-11 16:11:10,2025-01-02 14:09:43,2249.99,5690.91
Ferguson PLC,7325286908,Howellbury,Larsontown,2023-10-01 17:09:50,2024-05-04 10:19:00,2649.0,9777.17
"Mendez, Walters and Johnson",4678663860,North Debbie,South Brian,2023-11-13 15:08:22,2024-06-03 02:18:28,1833.41,3085.04
Callahan LLC,7699091615,South Williammouth,Port Maria,2023-06-12 12:46:55,2024-09-19 07:34:01,7398.69,3370.27
Walker-Gonzalez,4056414215,East Nancyhaven,New Jenniferstad,2023-08-06 08:23:45,2025-01-08 12:23:13,3774.19,9349.46
Bird-Berry,9985774875,Liville,Harriston,2023-04-21 21:15:50,2024-12-28 22:04:52,3291.89,2600.03
Pierce LLC,2781198134,Hollystad,Bethfort,2023-11-11 02:35:16,2024-09-16 18:11:58,8096.94,8820.24
Peterson LLC,5267079185,New Jenniferberg,South Christine,2023-11-13 23:39:54,2024-03-11 03:19:01,9784.95,7130.32
Hughes and Sons,8446135898,New Stephanie,Sandrastad,2023-09-19 13:12:14,2024-11-02 15:55:14,8985.48,6870.77
"Dunn, Payne and Duran",604772984,Amandaview,South Kevin,2023-05-24 17:34:42,2024-07-26 22:01:18,7146.51,8267.65
"Foster, Davis and Miller",9435068446,South Amberbury,Jasonfort,2023-04-13 02:49:48,2024-10-05 02:43:40,5363.49,8818.3
Harris-Shaffer,2343356476,New Michellestad,North Annachester,2023-03-01 07:33:22,2024-09-12 20:53:35,4826.17,1519.93
French Ltd,5863776838,Port Jacquelinemouth,Burkeborough,2023-03-11 19:24:52,2024-11-06 13:30:18,8233.95,5846.99
"Rodriguez, Brady and Daugherty",1628838630,East Kimberly,Carolshire,2023-04-11 09:49:39,2025-02-04 17:00:57,2446.31,2945.75
Roberts LLC,6127398773,West Miguelshire,Jaredmouth,2023-08-12 20:37:25,2024-08-25 01:20:49,5444.38,8003.15
"Hernandez, Pham and Contreras",4161156304,South Todd,East Shannonchester,2023-10-28 14:18:01,2024-11-25 13:31:43,5701.87,308.12
"Ferguson, Levine and Smith",5837285632,South Desiree,West Joshuaburgh,2023-09-27 22:50:53,2025-01-11 06:24:20,2096.89,511.56
Snyder LLC,1620001020,Ramirezchester,Matthewchester,2023-04-10 13:41:02,2024-09-16 03:46:25,4995.63,2966.62
Neal and Sons,6769569894,Barbarahaven,Thomasmouth,2023-09-24 10:09:26,2024-07-07 12:29:41,8106.0,9064.89
"Miller, Harris and Diaz",2160129934,North Annaside,Lake Tanyatown,2023-07-04 21:50:16,2024-07-27 21:28:57,7997.95,3018.81
"Villarreal, Thomas and Weaver",796262992,New Richardside,Millshaven,2023-06-27 18:05:57,2024-06-18 01:59:42,9893.57,5943.82
Carpenter Inc,2389728023,Conradberg,Fieldsshire,2023-02-27 04:29:26,2024-11-05 19:45:25,2458.74,4459.81
Monroe-Walker,3466538850,East Christopherfort,Steeleside,2023-12-16 02:07:55,2024-04-22 00:09:24,2223.91,1381.37
"Murphy, Mason and Le",2481547002,Stewarthaven,Darrenmouth,2023-07-24 07:21:51,2024-09-30 12:28:14,7733.72,4504.74
Avila Ltd,2808561883,Jamiefurt,East Michael,2023-07-25 05:38:29,2024-09-12 12:25:14,7615.07,6977.21
"Ramirez, Silva and Leonard",8568789491,West Gabriel,Johnchester,2023-08-31 13:54:10,2024-02-24 18:40:18,2587.18,7619.57
"Burke, Diaz and Mann",5007232540,Port Thomas,Mendozaton,2023-03-19 18:57:52,2024-03-28 17:51:37,8121.04,602.03
Walton-Welch,3584347403,Port Cindyberg,East Lucas,2024-02-15 21:59:03,2024-07-14 01:28:31,3314.28,2283.16
Orozco LLC,7572691014,South Jessica,North Nicholasside,2023-05-10 22:55:05,2024-11-27 12:17:43,6184.99,606.13
"Lee, Jones and Richards",1421440109,Toniview,North Marthaburgh,2023-06-02 13:51:10,2024-03-21 08:18:50,7605.54,9454.94
Hicks-Lynch,8962199292,Aprilbury,East Matthew,2023-06-04 01:43:25,2025-02-09 17:21:09,5277.43,975.65
Reese LLC,9503308874,South Marc,Lake William,2023-10-06 05:29:09,2024-09-09 05:57:46,9787.08,4867.09
Montoya PLC,239289310,Lake Albertbury,Thomasstad,2023-12-05 21:18:12,2024-07-29 08:45:42,1856.42,4060.6
"Myers, Watson and Carter",7003051172,Lake Sarahhaven,Port Nancyside,2023-04-16 15:08:31,2024-04-30 02:03:00,2689.12,5702.06
"Clayton, Park and Cox",3552620824,Michellefurt,Davidview,2023-03-06 23:14:47,2024-12-31 06:16:24,6102.44,5248.67
"Roberts, Wright and Gonzalez",4872019142,Karenborough,East Deborahhaven,2024-02-15 16:00:30,2024-11-20 12:16:29,8146.4,2222.88
"Dean, Reynolds and Galloway",6727570300,Port Daniel,East Jeffchester,2024-02-07 00:24:44,2024-09-03 14:43:31,3667.48,7120.95
Newton-Walker,3187518261,North Gregory,North Brenda,2023-09-23 22:26:29,2024-02-21 18:48:34,3414.82,1834.96
"Golden, Mendez and Lyons",9805221863,Brandonbury,Port Madison,2023-09-11 00:01:40,2024-07-14 17:06:08,5647.39,8010.18
Bradshaw-Burch,8308577799,North Douglas,Garciachester,2024-02-15 21:20:41,2024-08-22 16:10:02,5176.24,4903.97
"Little, Baldwin and Wilson",9979014484,Josephbury,Tylerland,2023-03-31 16:50:23,2024-11-26 03:55:17,6543.27,337.93
"Harvey, Hull and Martin",5304627470,Port Bruceberg,West Dana,2023-04-23 11:08:16,2024-04-09 11:46:43,2504.65,5491.79
